City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Bambous Virieux,MU,2021-11-28 01-00-13,-20.3428,57.7575,76.21,73,0,6.55
241,Tual,ID,2021-11-28 01-04-25,-5.6667,132.75,83.66,67,100,4.34
242,Tessalit,ML,2021-11-28 01-04-25,20.1986,1.0114,74.5,22,5,4.52
243,Najran,SA,2021-11-28 01-04-25,17.4924,44.1277,59.83,48,0,1.72
244,Erenhot,CN,2021-11-28 01-04-26,43.6475,111.9767,28.24,60,5,11.61
245,Arraial Do Cabo,BR,2021-11-28 00-56-20,-22.9661,-42.0278,71.87,92,91,9.71
246,Manadhoo,MV,2021-11-28 01-04-26,5.7667,73.3833,80.83,79,100,14.58
247,Zhigansk,RU,2021-11-28 01-04-27,66.7697,123.3711,-1.62,98,100,6.82
248,Meadow Lake,US,2021-11-28 01-00-17,34.8014,-106.5436,49.44,32,0,4.61
249,Poum,NC,2021-11-28 01-04-27,-20.2333,164.0167,80.76,75,4,9.69
250,Yangambi,CD,2021-11-28 01-04-27,0.8102,24.4336,68.94,98,100,2.01
251,Nortelandia,BR,2021-11-28 01-04-28,-14.4547,-56.8028,76.64,81,100,4.05
252,Sao Filipe,CV,2021-11-28 01-04-29,14.8961,-24.4956,77.16,73,9,12.77
253,Wasilla,US,2021-11-28 01-04-29,61.5814,-149.4394,2.35,75,1,0.0
254,Juazeiro,BR,2021-11-28 01-04-29,-9.4117,-40.4986,84.38,54,20,4.61
255,Lodeynoye Pole,RU,2021-11-28 01-04-30,60.726,33.5531,23.95,83,100,13.18
256,Grand Gaube,MU,2021-11-28 01-04-30,-20.0064,57.6608,72.0,71,0,8.75
257,Reconquista,AR,2021-11-28 01-04-31,-29.15,-59.65,74.12,58,100,5.55
258,Esperance,AU,2021-11-28 00-52-04,-33.8667,121.9,73.24,43,0,9.78
259,Rio Gallegos,AR,2021-11-28 01-00-54,-51.6226,-69.2181,49.3,68,100,24.9
260,Panguna,PG,2021-11-28 01-04-31,-6.3164,155.4848,80.26,65,100,3.27
261,Kloulklubed,PW,2021-11-28 01-02-52,7.0419,134.2556,84.7,74,100,15.14
262,Barreirinhas,BR,2021-11-28 01-04-32,-2.7469,-42.8264,79.7,83,19,8.25
263,Villazon,BO,2021-11-28 01-04-32,-22.0866,-65.5942,55.38,57,96,8.28
264,Methoni,GR,2021-11-28 01-04-33,36.8197,21.7049,49.86,74,4,14.76
265,Vicuna,CL,2021-11-28 01-00-17,-30.0319,-70.7081,67.03,56,0,1.16
266,Zhangye,CN,2021-11-28 01-04-33,38.9342,100.4517,24.62,47,100,3.18
267,Oksfjord,NO,2021-11-28 01-04-33,70.2396,22.3479,20.32,82,34,11.95
268,Lavrentiya,RU,2021-11-28 01-04-34,65.5833,-171.0,-10.7,94,6,7.7
269,Half Moon Bay,US,2021-11-28 01-00-18,37.4636,-122.4286,66.38,59,1,8.05
270,Ostrovnoy,RU,2021-11-28 00-57-46,68.0531,39.5131,9.37,88,89,8.61
271,Denpasar,ID,2021-11-28 01-01-26,-8.65,115.2167,80.26,89,75,5.75
272,Bontang,ID,2021-11-28 01-04-35,0.1333,117.5,79.57,88,100,7.14
273,Camacha,PT,2021-11-28 01-04-00,33.0833,-16.3333,60.22,77,40,13.8
274,Lavumisa,SZ,2021-11-28 01-04-35,-27.31,31.892,60.55,90,100,4.76
275,Myrtle Beach,US,2021-11-28 01-00-03,33.6891,-78.8867,41.27,46,52,7.43
