City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Bonthe,SL,80.17,broken clouds,7.5264,-12.505,Bonthe Holiday Village
188,San Carlos De Bariloche,AR,74.95,few clouds,-41.1456,-71.3082,Hotel Patagonia
190,Soyo,AO,78.03,overcast clouds,-6.1349,12.3689,Hotel Mpampa
192,Daman,IN,74.16,clear sky,20.4167,72.85,Silver Sands Beach Resort
196,Soe,ID,74.12,overcast clouds,-9.8607,124.284,Dena Hotel
198,Oussouye,SN,78.89,overcast clouds,12.485,-16.5469,Auberge du Routard
207,Linao,PH,77.74,broken clouds,7.1678,124.9675,Mujeres Plantation and Residency
209,Ternate,ID,79.09,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
210,Fare,PF,81.14,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
211,Meulaboh,ID,76.23,broken clouds,4.1363,96.1285,Kost Pria
214,Kahului,US,76.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
215,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
218,Iralaya,HN,80.69,overcast clouds,15.0,-83.2333,Iglesia morava renovada
219,Hualmay,PE,67.68,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
220,Takoradi,GH,80.58,broken clouds,4.8845,-1.7554,Raybow International Hotel
230,Arlit,NE,69.39,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
231,Nenita,PH,75.56,overcast clouds,12.4917,124.8044,
233,Makakilo City,US,74.28,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
234,Kidal,ML,73.81,overcast clouds,18.4411,1.4078,
236,Ahipara,NZ,73.89,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
239,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
244,Carutapera,BR,77.95,broken clouds,-1.195,-46.02,Lidera
245,Balabac,PH,81.52,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
252,Xai-Xai,MZ,77.34,clear sky,-25.0519,33.6442,Complexo da Familia
253,Panaba,MX,70.3,clear sky,21.2833,-88.2667,Hotel California
255,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
259,Sao Joao Da Barra,BR,72.84,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
264,Kyabe,TD,79.81,broken clouds,9.4515,18.9449,
267,Sao Filipe,CV,76.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
273,Bulacan,PH,77.92,scattered clouds,14.7928,120.8789,Twin Sis Hotel And Restauran
275,Tambura,SS,75.6,broken clouds,5.6,27.4667,Rikito Lodge
278,Antsohihy,MG,75.49,clear sky,-14.8796,47.9875,Hotel de Ville
280,Savannah Bight,HN,73.45,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
285,Bandarbeyla,SO,74.37,scattered clouds,9.4942,50.8122,JABIR HOTEL
288,Port Macquarie,AU,67.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
292,Seguin,US,75.63,broken clouds,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
297,Bathurst,AU,68.83,broken clouds,-33.4166,149.5806,Bathurst Motor Inn
302,Nago,JP,66.36,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
303,Comodoro Rivadavia,AR,69.66,few clouds,-45.8667,-67.5,Austral Hotel
308,Biak,ID,78.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
309,Sungairaya,ID,78.13,overcast clouds,0.7,108.9,Mess P.Milu
312,Les Cayes,HT,77.59,broken clouds,18.2,-73.75,Villa Orphee
313,Banda Aceh,ID,77.34,scattered clouds,5.5577,95.3222,Sulthan Hotel International
316,Basco,PH,74.1,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
317,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
318,Sam Roi Yot,TH,67.98,broken clouds,12.2708,99.872,SeaBreezeResort Samroiyot
321,Mahanoro,MG,73.09,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
323,Kuantan,MY,73.51,few clouds,3.8077,103.326,Hotel Sentral Kuantan
328,Madras,IN,77.97,mist,13.0878,80.2785,City home
331,Kavaratti,IN,80.8,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
332,Harrison,US,68.02,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
335,Caravelas,BR,74.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
338,Acari,PE,70.99,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
340,Nanakuli,US,75.7,light rain,21.3906,-158.1547,Camp Pālehua
342,Ghanzi,BW,70.5,light rain,-21.5667,21.7833,Ghanzi Farmhouse
346,Flinders,AU,66.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
354,Uthal,PK,66.47,clear sky,25.8072,66.6219,Al-Mustafa Hotel
